,record,AGENUM,AGE_r999,age,ageR,ageRR,PROV,Q0QC,RégionR,REGIO,AREA,sexe,ENFA,EMPLO,OCCUP,REVENX,REVEN,PROP,SCOL,scolR,LANGU,langR,ETHNr1,ETHNr2,ETHNr3,ETHNr4,ETHNr5,ETHNr6,ETHNr7,ETHNr8,ETHNr9,ETHNr10,ETHNr11,ETHNr12,ETHNr96,ETHNr99,FSA,FSA_rA9A,QPC1r1,QPC1r2,QPC1r2_inv,QPC1r3,QPC1r4,QPC1r4_inv,QPC1r5,QPC2,XQPC3,XQPC3A,QPC3r1,QPC3r5,QPC3r2,QPC3r6,QPC3r3,QPC3r7,QPC3r4,QPC3r8,QPC4r1,QPC4r2,QPC4r3,QPC4r4,QPC4r5,QPC4r6,QPC4r7,QPC5r1,QPC5r1_inv,QPC5r2,QPC5r3,QPC5r4,QPC5r1R,QPC5r2R,QPC5r3R,QPC5r4R,QPC6r1,QPC6r2,QPC6r3,QPC6r4,QPC6r1R,QPC6r2R,QPC6r3R,QPC6r4R,POND,cons,FAC1_1,Ind.Col_5,FAC1_2,Pré_Iden,FAC2_2,Est_Iden,FAC1_3,Symbol,FAC2_3,Norma,FAC3_3,Fonction,FAC1_4,Souv.fédé,filter_$,cinq_cohortes
0,5.0,18.0,0.0,2.0,1.0,1.0,6.0,12.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G7a,0.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1585279258563191,2.0,1.8624739390232934,1.0,1.1993213156144866,1.0,0.010917158862229994,1.0,-3.0187045689986127,2.0,-1.7610421625613637,2.0,-1.6759261594191204,2.0,0.8194781421028605,1.0,1.0,1.0
1,9.0,29.0,0.0,3.0,1.0,2.0,6.0,12.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G7A,0.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0129815173762668,4.0,-0.6971188052683227,2.0,-2.74325453178953,2.0,0.295568278219772,1.0,-1.8023319904707586,2.0,-0.7343951884991115,2.0,0.379735603900504,1.0,-1.2211754736998746,3.0,1.0,1.0
2,11.0,26.0,0.0,3.0,1.0,2.0,6.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,7.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G8k,0.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5778896727985533,4.0,-0.4464878624598626,2.0,0.9269019766369215,1.0,-1.9041307598877086,2.0,0.8646776125599178,1.0,-0.20237432483781576,2.0,-0.5170242418441716,2.0,-0.21310170352545732,2.0,1.0,1.0
3,14.0,32.0,0.0,3.0,1.0,2.0,6.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,G7s,0.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.6799987358282724,2.0,-0.2323089356803062,2.0,-1.3106208565379527,2.0,-0.4601847234682027,2.0,-0.4713830368177978,2.0,1.0861386421842136,1.0,1.0056369971437868,1.0,0.1529427343894771,2.0,1.0,1.0
4,17.0,37.0,0.0,4.0,2.0,3.0,6.0,7.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,8.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J8N,0.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.751419468603913,1.0,1.1713802585430355,1.0,0.8533653405505028,1.0,0.6305715639119664,1.0,0.07442629970132784,1.0,0.8899594642513569,1.0,0.19314158753399374,1.0,0.7949720666489598,1.0,1.0,3.0
5,20.0,32.0,0.0,3.0,1.0,2.0,6.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G2j,0.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,0.6334983730979243,4.0,0.4587847447999516,1.0,-0.9152446451362442,2.0,0.6514954382737974,1.0,-1.3734257922412383,2.0,-2.127015796391513,2.0,0.4596066368792949,1.0,0.10791296260428401,2.0,1.0,1.0
6,25.0,24.0,0.0,2.0,1.0,1.0,6.0,3.0,3.0,2.0,2.0,1.0,2.0,6.0,,2.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G1l,0.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,0.1585279258563191,1.0,0.10439941297551945,1.0,0.4468350781379024,1.0,-0.8468096745227314,2.0,-0.07100107311511689,2.0,0.5442241017612505,1.0,-0.3114268326276168,2.0,1.1404928082326018,1.0,1.0,1.0
7,28.0,31.0,0.0,3.0,1.0,2.0,6.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,5.0,1.0,5.0,3.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,h1v,0.0,3.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,0.43679798224252836,5.0,-0.0060251247880648146,2.0,0.8694689729020288,1.0,1.7622264183761351,1.0,0.5850297628910248,1.0,0.11500178541159323,1.0,-1.474127344801896,2.0,-1.5421901398296158,3.0,0.0,1.0
8,38.0,49.0,0.0,5.0,2.0,4.0,6.0,8.0,1.0,3.0,1.0,2.0,2.0,1.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J9p,0.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,1.2442524069582344,5.0,1.4005093680886693,1.0,0.8533653405505028,1.0,0.6305715639119664,1.0,1.310212895084097,1.0,-0.2606245514993,2.0,-0.2856017628072627,2.0,-1.1966693982459737,3.0,1.0,4.0
9,41.0,39.0,0.0,4.0,2.0,3.0,6.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G9a,0.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.321237857616927,5.0,0.4587847447999516,1.0,0.9598750595560159,1.0,1.3996700060790077,1.0,-1.7929880946154144,2.0,1.1534195251265809,1.0,-0.2556166797632581,2.0,-0.5341163696551987,3.0,1.0,3.0
